total_population,total_open_rate,control_group_population,control_group_open_rate,male_population_in_control,male_open_rate_in_control,female_population_in_control,female_open_rate_in_control,other_population_in_control,other_open_rate_in_control,treatment_group_population,treatment_group_open_rate,male_population_in_treatment,male_open_rate_in_treatment,female_population_in_treatment,female_open_rate_in_treatment,other_population_in_treatment,other_open_rate_in_treatment
873,0.6506300114547537,427,0.6838407494145199,204,0.7205882352941176,54,0.6111111111111112,169,0.6627218934911243,446,0.6188340807174888,215,0.6790697674418604,55,0.7090909090909091,176,0.5170454545454546
856,0.7114485981308412,415,0.689156626506024,204,0.7254901960784313,54,0.7407407407407407,157,0.6242038216560509,441,0.7324263038548753,217,0.7695852534562212,55,0.7818181818181819,169,0.6686390532544378
857,0.6289381563593932,415,0.6409638554216868,204,0.6862745098039216,54,0.7037037037037037,157,0.5605095541401274,442,0.6176470588235294,217,0.6820276497695853,55,0.6,170,0.5411764705882353
814,0.6584766584766585,393,0.638676844783715,204,0.6568627450980392,54,0.7037037037037037,135,0.5851851851851851,421,0.6769596199524941,218,0.7110091743119266,55,0.7272727272727273,148,0.6081081081081081
811,0.6115906288532675,392,0.5969387755102041,204,0.5931372549019608,54,0.7777777777777778,134,0.5298507462686567,419,0.6252983293556086,218,0.6651376146788991,53,0.6226415094339622,148,0.5675675675675675
806,0.56575682382134,389,0.5552699228791774,203,0.5812807881773399,54,0.5740740740740741,132,0.5075757575757576,417,0.5755395683453237,217,0.6082949308755761,53,0.6415094339622641,147,0.5034013605442177
776,0,373,0,200,0,51,0,122,0,403,0,212,0,51,0,140,0
756,0.5833333333333334,366,0.5765027322404371,197,0.5888324873096447,51,0.6666666666666666,118,0.5169491525423728,390,0.5897435897435898,207,0.6328502415458938,51,0.6274509803921569,132,0.5075757575757576
730,0.26575342465753427,354,0.2824858757062147,195,0.27692307692307694,47,0.3829787234042553,112,0.25,376,0.25,201,0.24875621890547264,50,0.28,125,0.24
730,0,354,0,195,0,47,0,112,0,376,0,201,0,50,0,125,0
730,0.26438356164383564,354,0.2542372881355932,195,0.2358974358974359,47,0.40425531914893614,112,0.22321428571428573,376,0.27393617021276595,201,0.25870646766169153,50,0.3,125,0.288
